agency_id,route_color,route_desc,route_id,route_long_name,route_short_name,route_text_color,route_type,route_url
nmbssncb,016AB3,"",gr:nmbssncb:628,Tongres -- Braine-le-Comte,IC,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:629,Bruxelles-Midi -- Anvers-Central,S1,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:63,Charleroi-Central -- Châtelet,L,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:630,Bruxelles-Midi -- Malines,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:631,Nivelles -- Anvers-Central,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:632,Schaerbeek -- Anvers-Central,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:633,Nivelles -- Malines,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:634,Vilvorde -- Nivelles,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:635,Bruxelles-Midi -- Nivelles,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:636,Rhode-Saint-Genèse -- Waterloo,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:637,Schaerbeek -- Nivelles,S1,FFFFFF,2,""
nmbssncb,005F33,"",gr:nmbssncb:638,Nivelles -- Anvers-Berchem,S1,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:639,Spa-Géronstère -- Welkenraedt,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:64,Wavre -- Châtelet,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:640,Bruxelles-Luxembourg -- Louvain,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:665,Marloie -- Arlon,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:641,Ottignies -- Wavre,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:642,Ottignies -- Bruxelles-Midi,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:643,Wavre -- Bruxelles-Midi,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:644,Schaerbeek -- Cambron-Casteau,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:645,Schaerbeek -- Jurbise,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:646,Anvers-Central -- Bruges,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:647,Dinant -- Houyet,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:648,Liège-Guillemins -- Rochefort-Jemelle,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:649,Bruges -- Knokke,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:65,Fleurus -- Châtelet,L,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:650,Turnhout -- Blankenberge,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:651,Herentals -- Blankenberge,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:652,Anvers-Central -- Blankenberge,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:653,Charleroi-Central -- Blankenberge,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:654,Mons -- Blankenberge,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:655,Mouscron -- Blankenberge,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:656,Neerpelt -- Blankenberge,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:657,Blankenberge -- Gand-Saint-Pierre,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:658,Schaerbeek -- Ostende,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:659,Hasselt -- Ostende,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:66,Charleroi-Central -- Braine-le-Comte,IC,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:660,Tongres -- Ostende,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:661,Rochefort-Jemelle -- Ostende,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:662,Bruxelles-Midi -- Rochefort-Jemelle,T,FFFFFF,2,""
nmbssncb,016AB3,"",gr:nmbssncb:663,Arlon -- Ostende,T,FFFFFF,2,""
