location_type,parent_station,platform_code,stop_code,stop_desc,stop_id,stop_lat,stop_lon,stop_name,stop_url,wheelchair_boarding,zone_id
0,gs:nmbssncb:S8861200,5,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861200_5,50.570486,4.691497,Gembloux,"",,
0,gs:nmbssncb:S8861317,"","",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861317,50.557375,4.697624,Chapelle-Dieu,"",,
0,gs:nmbssncb:S8861317,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861317_1,50.557375,4.697624,Chapelle-Dieu,"",,
0,gs:nmbssncb:S8861333,"","",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861333,50.5135,4.67583,Mazy,"",,
0,gs:nmbssncb:S8861333,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861333_1,50.5135,4.67583,Mazy,"",,
0,gs:nmbssncb:S8861416,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861416,50.55194,4.7201,Lonzée,"",,
0,gs:nmbssncb:S8861416,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861416_1,50.55194,4.7201,Lonzée,"",,
0,gs:nmbssncb:S8861416,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861416_2,50.55194,4.7201,Lonzée,"",,
0,gs:nmbssncb:S8861424,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861424,50.534209,4.748531,Beuzet,"",,
0,gs:nmbssncb:S8861424,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861424_1,50.534209,4.748531,Beuzet,"",,
0,gs:nmbssncb:S8861424,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861424_2,50.534209,4.748531,Beuzet,"",,
0,gs:nmbssncb:S8861432,"","",NMBSSNCB RAIL+BUS PLATFORM,gs:nmbssncb:8861432,50.5213,4.76779,Saint-Denis-Bovesse,"",,
0,gs:nmbssncb:S8861432,1,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861432_1,50.5213,4.76779,Saint-Denis-Bovesse,"",,
0,gs:nmbssncb:S8861432,2,"",NMBSSNCB RAIL PLATFORM,gs:nmbssncb:8861432_2,50.5213,4.76779,Saint-Denis-Bovesse,"",,
